# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# Number_Arms: 2, Number of Arms detected
# Quality_Arms_Analysis: 1, 0= Bad Arms FIT, 1 = Good Arms FIT
# BAD_VALUES: nan
# COLUMN1:  ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:  RA, float, degrees, Right ascension of the HII region
# COLUMN3:  DEC, float, degrees, Declination of the HII region
# COLUMN4:  Xobs, float, arcsec, delta right ascension from the center
# COLUMN5:  Yobs, float, arcsec, delta declination from the center
# COLUMN6:  Xres, float, kpc, deprojected delta X coordinate from the center
# COLUMN7:  Yres, float, kpc, deprojected delta Y coordinate from the center
# COLUMN8:  R, float, kpc, deprojected distance to the center
# COLUMN9:  Theta, float, degrees, deprojected position angle
# COLUMN10:  N_Arm, int, , ID of the nearest ARM
# COLUMN11:  Inter_Arm, int, , 1 = HII region associated with the ARM; 0 = Inter ARM HII region
# COLUMN12:  D_min_Arm, float, arcsec, Minimum Distance to the nearest ARM
# COLUMN13:  D_Arm, float, arcsec, Spiralcentric distance, Distance along the nearest ARM
# COLUMN14:  Theta_Arm, float, degrees, Angular Distance to the nearest ARM
# COLUMN15: vel_Ha, float, km/s, Ha velocity of the ionized gas
# COLUMN16: e_vel_Ha, float, km/s, Error of the Ha velocity of the ionized gas
# COLUMN17:  log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
# COLUMN18:  e_log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
 ngc628-096        ,   24.1432,  15.7866,   -114.5,    10.8,      4.7,     0.5,      4.8,     6.2,   1,  1,    20.3,  2886.0,     1.8,    487.9,    45.9,  38.48,  0.11
 ngc628-097        ,   24.1988,  15.8122,     93.8,   103.1,     -3.9,     5.2,      6.5,   126.4,   1,  0,    42.2,  4611.7,    -8.1,    561.7,    29.3,  38.93,  0.13
 ngc628-098        ,   24.1513,  15.7672,    -84.0,   -59.0,      3.5,    -3.0,      4.6,   319.1,   1,  1,    20.7,  2460.6,    -2.2,    491.6,    22.8,  38.59,  0.12
 ngc628-099        ,   24.1846,  15.7867,     40.5,    11.2,     -1.7,     0.6,      1.8,   161.0,   1,  1,     2.3,  1372.0,    -1.1,    531.7,     2.9,  38.73,  0.11
 ngc628-100        ,   24.1583,  15.7889,    -57.8,    18.9,      2.4,     0.9,      2.6,    21.4,   2,  1,     8.9,  1613.1,     5.1,    492.9,    24.5,  38.57,  0.15
 ngc628-101        ,   24.1551,  15.8323,    -69.9,   175.2,      2.9,     8.8,      9.3,    71.6,   1,  0,    60.9,  3666.7,     2.4,    492.8,    32.5,  38.11,  0.16
 ngc628-102        ,   24.1921,  15.7984,     68.7,    53.2,     -2.8,     2.7,      3.9,   136.3,   2,  1,    14.7,  2460.6,     0.4,    507.8,    27.7,  38.28,  0.15
 ngc628-103        ,   24.1708,  15.7801,    -11.0,   -12.8,      0.5,    -0.6,      0.8,   304.9,   2,  1,     2.4,   152.1,    -1.3,    497.8,    19.4,  39.22,  0.11
 ngc628-105        ,   24.2046,  15.7936,    115.5,    35.8,     -4.8,     1.8,      5.1,   158.9,   2,  0,    43.7,  2622.0,    -0.4,    550.6,    35.0,  38.50,  0.11
 ngc628-106        ,   24.1411,  15.7578,   -122.0,   -93.0,      5.0,    -4.7,      6.9,   316.7,   2,  0,    50.3,  4802.9,    -8.8,    468.7,    35.6,  38.25,  0.13
 ngc628-107        ,   24.1855,  15.7838,     44.1,     0.7,     -1.8,     0.0,      1.8,   178.5,   1,  1,     3.9,  1464.2,     4.9,    537.9,     9.8,  39.14,  0.10
 ngc628-109        ,   24.1742,  15.7668,      1.5,   -60.5,     -0.1,    -3.1,      3.1,   268.6,   1,  1,     6.4,  1961.9,    -3.3,    491.4,    34.1,  39.06,  0.13
