# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# NON_PHYSICAL_VALUES: rat_Ha_Hb<2.7
# BAD_VALUES: nan
# COLUMN1:   ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:   Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux
# COLUMN3:   e_Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux Error
# COLUMN4:  rat_OII_Hb, float, , [OII]3727/Hbeta line ratio
# COLUMN5:  e_rat_OII_Hb, float, , [OII]3727/Hbeta line ratio error
# COLUMN6:   rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio
# COLUMN7:   e_rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio error
# COLUMN8:   rat_OI_Hb, float, , OI6300/Hbeta line ratio
# COLUMN9:   e_rat_OI_Hb, float, , OI6300/Hbeta line ratio error
# COLUMN10:   rat_Ha_Hb, float, , Halpha/Hbeta line ratio
# COLUMN11:   e_rat_Ha_Hb, float, , Halpha/Hbeta line ratio error
# COLUMN12:   rat_NII_Hb, float, , [NII]6583/Hbeta line ratio
# COLUMN13:  e_rat_NII_Hb, float, , [NII]6583/Hbeta line ratio error
# COLUMN14:   rat_He_Hb, float, , HeI6678/Hbeta line ratio
# COLUMN15:  e_rat_He_Hb, float, , HeI6678/Hbeta line ratio error
# COLUMN16:   rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio
# COLUMN17:  e_rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio error
# COLUMN18:   rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio
# COLUMN19:  e_rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio error
# COLUMN20:  BTP_type , float, , 0=NO.BTP; 1=SF; 2=SF/AGN; 3=AGN
 ngc628-071        ,    44.613,    6.339,    2.615,   0.847,    0.781,   0.253,      nan,     nan,    3.851,   0.895,    0.986,   0.488,    0.096,   0.026,    0.470,   0.248,    0.209,   0.211,  1
 ngc628-072        ,    76.316,   13.123,    2.186,   1.232,    0.439,   0.247,      nan,     nan,    3.368,   1.005,    0.819,   0.567,      nan,     nan,    0.577,   0.311,    0.397,   0.280,  1
 ngc628-073        ,   106.445,   14.028,    1.438,   1.106,    0.207,   0.159,    0.077,   0.077,    3.506,   0.830,    0.874,   0.483,      nan,     nan,    0.508,   0.227,    0.212,   0.188,  1
 ngc628-074        ,   115.933,   19.107,    1.456,   1.277,    0.231,   0.203,      nan,     nan,    3.033,   0.919,    0.840,   0.557,      nan,     nan,    0.511,   0.274,    0.334,   0.245,  1
 ngc628-075        ,    71.249,   17.172,    1.731,     nan,      nan,     nan,      nan,     nan,    3.032,   1.092,    0.749,   0.542,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-076        ,    38.066,   18.876,    1.297,     nan,      nan,     nan,      nan,     nan,    9.182,   5.445,    2.403,   2.083,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-077        ,    48.034,   19.835,    2.446,   3.354,    0.431,   0.591,      nan,     nan,    6.902,   3.677,    2.139,   1.711,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-078        ,    69.231,   18.077,    0.506,   0.952,    0.161,   0.303,      nan,     nan,    3.831,   1.323,    1.110,   0.613,      nan,     nan,    0.423,   0.350,    0.271,   0.311,  1
 ngc628-079        ,    21.747,   21.238,    0.646,   2.063,    0.440,   1.406,      nan,     nan,    8.074,   8.844,    1.692,   2.612,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-080        ,    28.702,   15.041,      nan,     nan,    0.603,   0.840,      nan,     nan,    4.214,   2.738,    1.849,   1.498,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-081        ,    17.142,    2.326,    1.533,   6.549,    0.033,   0.140,      nan,     nan,    7.914,   1.774,    2.977,   1.104,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-082        ,    22.451,   10.832,    1.033,     nan,      nan,     nan,      nan,     nan,    8.639,   4.876,    1.974,   1.660,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-083        ,    69.894,    7.867,    1.313,   0.704,    0.266,   0.142,      nan,     nan,    3.813,   0.816,    1.087,   0.509,    0.046,   0.012,    0.548,   0.255,    0.285,   0.225,  1
 ngc628-084        ,    75.280,    4.581,    1.453,     nan,      nan,     nan,      nan,     nan,    2.858,   0.615,    0.612,   0.479,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-085        ,    44.873,   28.625,    1.503,     nan,      nan,     nan,      nan,     nan,    6.044,   4.847,    1.398,   1.883,      nan,     nan,      nan,     nan,      nan,     nan,  0
 ngc628-086        ,    53.805,   15.485,    0.221,   0.578,    0.124,   0.323,      nan,     nan,    3.541,   1.275,    0.683,   0.452,      nan,     nan,    0.233,   0.280,      nan,     nan,  0
 ngc628-087        ,    36.705,    8.275,    2.876,   2.017,    0.474,   0.332,      nan,     nan,    3.704,   1.310,    1.045,   0.710,      nan,     nan,    0.560,   0.419,      nan,     nan,  1
 ngc628-088        ,    33.591,   13.656,    4.283,   9.203,    0.233,   0.501,      nan,     nan,    4.987,   2.635,    1.518,   1.225,      nan,     nan,    0.682,   0.800,      nan,     nan,  0
 ngc628-089        ,    46.554,    9.429,    1.268,   1.675,    0.181,   0.239,      nan,     nan,    3.643,   1.029,    1.255,   0.546,      nan,     nan,    0.393,   0.287,      nan,     nan,  1
 ngc628-091        ,    29.116,   11.542,    1.349,   2.590,    0.260,   0.500,      nan,     nan,    6.640,   3.407,    1.946,   1.547,      nan,     nan,    0.955,   0.760,    0.590,   0.616,  1
 ngc628-092        ,    27.909,   13.283,    1.959,  42.410,    0.022,   0.487,      nan,     nan,    6.445,   3.651,    2.246,   1.652,    0.066,   0.051,    0.923,   0.792,    0.439,   0.561,  1
